designation,d,bf,tw,tf,Zx
W21X101,21.4,12.3,0.5,0.8,253.0
W21X93,21.6,8.42,0.58,0.93,221.0
W21X83,21.4,8.36,0.515,0.835,196.0
W21X73,21.2,8.3,0.455,0.74,172.0
W21X68,21.1,8.27,0.43,0.685,160.0
W21X62,21.0,8.24,0.4,0.615,144.0
W21X55,20.8,8.22,0.375,0.522,126.0
W21X48,20.6,8.14,0.35,0.43,107.0
W21X57,21.1,6.56,0.405,0.65,129.0
W21X50,20.8,6.53,0.38,0.535,110.0
W21X44,20.7,6.5,0.35,0.45,95.4
W18X311,22.3,12.0,1.52,2.74,754.0
W18X283,21.9,11.9,1.4,2.5,676.0
W18X258,21.5,11.8,1.28,2.3,611.0
W18X234,21.1,11.7,1.16,2.11,549.0
W18X211,20.7,11.6,1.06,1.91,490.0
W18X192,20.4,11.5,0.96,1.75,442.0
W18X175,20.0,11.4,0.89,1.59,398.0
W18X158,19.7,11.3,0.81,1.44,356.0
W18X143,19.5,11.2,0.73,1.32,322.0
W18X130,19.3,11.2,0.67,1.2,290.0
W18X119,19.0,11.3,0.655,1.06,262.0
W18X106,18.7,11.2,0.59,0.94,230.0
W18X97,18.6,11.1,0.535,0.87,211.0
W18X86,18.4,11.1,0.48,0.77,186.0
W18X76,18.2,11.0,0.425,0.68,163.0
W18X71,18.5,7.64,0.495,0.81,146.0
W18X65,18.4,7.59,0.45,0.75,133.0
W18X60,18.2,7.56,0.415,0.695,123.0
W18X55,18.1,7.53,0.39,0.63,112.0
W18X50,18.0,7.5,0.355,0.57,101.0
W18X46,18.1,6.06,0.36,0.605,90.7
W18X40,17.9,6.02,0.315,0.525,78.4
W18X35,17.7,6.0,0.3,0.425,66.5
W16X100,17.0,10.4,0.585,0.985,198.0
W16X89,16.8,10.4,0.525,0.875,175.0
W16X77,16.5,10.3,0.455,0.76,150.0
W16X67,16.3,10.2,0.395,0.665,130.0
W16X57,16.4,7.12,0.43,0.715,105.0
W16X50,16.3,7.07,0.38,0.63,92.0
W16X45,16.1,7.04,0.345,0.565,82.3
W16X40,16.0,7.0,0.305,0.505,73.0
W16X36,15.9,6.99,0.295,0.43,64.0
W16X31,15.9,5.53,0.275,0.44,54.0
